id,year,authors,title,citation,document_type,virus_or_agent,culture_system,cell_or_tissue,enrichment_propagation,enrichment_infection_or_observation,enrichment_change,change_timing,rationale_quoted,endpoint,comparison_of_media,uninoculated_under_same_medium,quotes_medium,quotes_endpoint,window_status,extractor,extract_date,confidence,notes
P1-012,2007,"Suchman E, Blair C",Cytopathic Effects of Viruses Protocols,ASM Protocols,manual,teaching CPE viruses,cluster dish,general,growth medium,maintenance medium fresh medium with 2% serum,yes,after removing growth medium,none_stated,CPE; uninoculated control well,no,yes,Add 1 ml of maintenance medium (fresh medium with 2% serum) to each well.,leaving one uninoculated control well; Observe for CPE,end_marker,grok-primary,2026-07-20,high,In-repo ASM protocol
P1-015,1969approx,Moffat MAJ,Some Cell Culture Procedures in Diagnostic Medical Virology,Diagnostic methods chapter (PDF supplied),manual,diagnostic viruses general,monolayer tube roller Petri,MK HeLa HEp-2 amnion RK13 etc,199 or Eagle Basal Medium + 10% calf serum,maintenance medium 1% serum or serum-free after about 3 days,yes,after about 3 days,none_stated,CPE neutralization hemadsorption FA,no,unclear,Growth medium usually consists of a synthetic medium such as 199 or Eagle's Basal Medium with added 10% calf serum. The serum may be varied in type or amount according to the virus or cells being cultured. After about 3 days the cultures are changed to maintenance medium which may contain 1% serum or be serum-free. Antibiotics are usually included.,cytopathogenic effect (CPE) was produced in the cells by the virus,end_marker,grok-primary,2026-07-20,high,Full PDF re-extract; dual medium diagnostic prescription
P1-016,2010s,UK SMI,V_39 Procedure for care and propagation of cell cultures,Public Health England SMI,manual,diagnostic cell culture,monolayer,listed cell types,EMEM growth + 10% serum,EMEM maintenance + 2% serum,yes,growth vs maintenance formulations,none_stated,cell health for virology,no,unclear,EMEM growth 10% serum; EMEM maintenance 2% serum (table),Supports viral diagnostic culture systems,end_marker,grok-primary,2026-07-20,medium,Snippet-based until full SMI re-check
P1-017,1961,Subramanyam P et al,Cultivation of vaccinia virus in sheep kidney cell cultures,Bull World Health Organ (PMC2555548),primary_methods,vaccinia Barnes strain,primary sheep kidney monolayers,sheep kidney,HBSS 80% + sheep serum 20% + lactalbumin 0.5% + yeast extract 0.1%,EBSS + 10% sheep serum maintenance; used for virus inoculation,yes,after monolayer 6-9 days then virus inoculum on maintenance,none_stated,cytopathic effects serial passage,no,unclear,"growth medium consisting of HBSS, 80%; sheep serum, 20%; lactalbumin hydrolysate, 0.5%; yeast extract, 0.1%. After good monolayer formation, usually 6 to 9 days after the preparation of the cultures, the medium was replaced with a maintenance medium consisting of EBSS with 10% sheep serum, the concentration of other substances being the same as in the growth medium. This medium was used for virus inoculation.","examined for cytopathic effects every 24 hours. After the lapse of 5 days, when the cytopathic effects were at a maximum",in_window,grok-primary,2026-07-20,high,COUNTEREXAMPLE: maintenance still 10% serum (growth was 20%)
P1-018,1964,Boyle JJ,Rift Valley Fever Virus Assay in Serum-Free Hamster Kidney Monolayers,US Army Biological Labs Technical Manuscript 132 April 1964; DTIC AD0437967,primary_methods,Rift Valley fever,hamster kidney tube monolayers,hamster kidney HK,medium 199 + 10% calf serum growth medium,serum-free maintenance medium: 10x medium 199 diluted then 1:1 with BSS; virus dilutions and post-adsorption maintenance serum-free,yes,after 24h confluent sheet growth medium removed; inoculate in serum-free maintenance,In absence of serum rapid destruction of cells with RVF; with serum may multiply without CPE; plaque needs serum in overlay for comparable titers; serum-free tube titration economical vs plaque/mouse,CPE endpoints Reed-Muench; compare plaque and mouse,yes,unclear,"hamster kidney cells were propagated in a growth medium consisting of medium 199 plus 10% calf serum. After a 24-hour incubation... growth medium was removed. The cells were inoculated with virus suspended in serum-free maintenance medium... After the absorption period, fresh maintenance medium (serum-free) was added. The maintenance medium was prepared from a concentrated (10X) stock medium 199 diluted to 1X... further diluted with one volume of balanced salts solution (BSS). Although dilutions of virus for tube titrations were made in the maintenance medium, the growth medium containing calf serum had to be employed for the corresponding plaque titrations, because comparable titers were not obtained when calf serum was deleted from the agar overlay.","In the absence of serum, however, a rapid destruction of tissue-culture cells occurred with RVF virus. Multiplication... may not be accompanied by cytopathogenic changes even though high titers may be obtained... in the presence of serum context. cpe can be prevented by specific immune serum.",in_window,grok-primary,2026-07-20,high,CRITICAL: serum removal enables CPE readout for RVF; full PDF as P1-203
P1-034,1950,"Morgan JF, Morton HJ, Parker RC",Nutrition of Animal Cells in Tissue Culture. I. Initial Studies on a Synthetic Medium,Proc Soc Exp Biol Med. 1950;73:1-8,primary_methods,NA (chick embryo cells; Medium 199 foundation),roller tube chick embryo muscle,11-day chick embryo leg muscle,Seek synthetic medium without serum/embryo extract; often preliminary horse serum + embryo extract then synthetic,NA virus,yes experimental,after 3-5 days preliminary natural medium,Complexity and variability of natural substrates (plasma serum extracts) impede nutrient studies,cell survival multiplication,yes,NA,synthetic medium... in the absence of blood serum and embryo extract. Although a completely adequate synthetic mixture has not yet been achieved... preliminary feeding mixture containing horse serum and embryo extract,cell growth microscopic examination,in_window,grok-primary,2026-07-21,high,Medium 199 origin; later used with serum for virus TC growth
P1-035,1963,Rosenbaum MJ et al,A Simplified Method for Virus-Tissue Culture Procedures in Microtitration Plates (approx title from DTIC AD0411928),DTIC AD0411928 / Proc Soc Exp Biol Med era microtitration methods,primary_methods,poliovirus neutralization and infectivity,microtitration plates MTC and MACRO tubes HEp-2,HEp-2,Growth: 90% Eagle MEM in HBSS + 10% inactivated fetal calf serum; MTC uses only growth media,MACRO tubes changed to maintenance medium 95% MEM + 5% inactivated horse serum once monolayers established,yes,once monolayers established for MACRO tubes,none_stated beyond methods convenience,CPE 1+-4+; neutralization titers,partial,yes,"Tissue culture growth medium contained 90% Eagle minimum essential medium (MEM) in HBSS with 10% inactivated fetal calf serum. Although only growth media was used for microtitration tissue cultures (MTC), conventional (MACRO) tissue cultures in tubes were changed to maintenance medium (95% MEM and 5% inactivated horse serum) once monolayers were established.",virus infectivity titers were microscopically observed; evidence of cytopathic effect,in_window,grok-primary,2026-07-20,high,Full PDF as P1-204; maintenance is 5% horse serum not 2%; micro keeps growth medium
P1-036,1969,"Lennette EH, Schmidt NJ (eds) reviewed",Diagnostic Procedures for Viral and Rickettsial Infections 4th ed (AJPH book notice PDF only),APHA 1969; AJPH notice amjphnation00034-0156b,manual / secondary notice,diagnostic viruses,diagnostic TC (not extracted from full chapter),multiple,unknown from this 2-page notice,unknown from this notice,unclear,unknown,none,diagnostic procedures book scope,no,unclear,PDF is short AJPH-style notice of the 4th edition Diagnostic Procedures volume; NOT the full Schmidt tissue culture chapter methods text.,n/a from notice,end_marker,grok-primary,2026-07-20,low,User supplied P1-036 is bibliographic notice only; still need full Schmidt ch.2 for medium tables
P1-042,1953,"Li CP, Schaeffer M",A Simplified Method for Cultivation of Poliomyelitis Virus in Tissue Culture,Science. 1953;118:107-109,primary_methods,poliomyelitis,stationary monkey testicular tissue tubes,monkey testis,Medium E: 75% Hank-Simms + 25% bovine plasma hydrolysate; Simms ultrafiltrate optional/omittable,same Medium E; fewer medium changes; clearer CPE; less nonspecific degeneration in uninfected tissue,yes vs horse serum + embryo extract,replacement of prior medium components,Horse serum frequently inhibitory to virus; chick embryo extracts contamination sources,cytopathogenic effect degrees of degeneration,yes,yes,"Horse serum is frequently inhibitory to virus, and chick embryo extracts are at times sources of contamination. Medium E... 75% Hank-Simms... and 25% bovine plasma hydrolyzate. Simms serum ultrafiltrate may be omitted entirely. nonspecific degeneration does not readily occur in uninfected tissue",cytopathogenic effect... degrees of cellular degeneration,in_window,grok-primary,2026-07-21,high,Cites Melnick-Riordan lactalbumin; Youngner Ward Salk
P1-043,1956,"Melnick JL, Opton EM",Assay of poliomyelitis neutralizing antibody in disposable plastic panels,Bull World Health Organ (PMC2538105),primary_methods,poliomyelitis,plastic panel metabolic color test monkey kidney,monkey kidney,Simple lactalbumin hydrolysate medium; nutrient medium = lactalbumin-Hanks base + 2.0% calf serum,same simple medium for color assay,partial (199 replaced by lactalbumin+2% calf),medium choice for assay system,Substitute simple lactalbumin medium for more complex Connaught No. 199,metabolic color/pH phenol red,yes,yes,"simple lactalbumin hydrolysate medium is used. The nutrient medium, used for cell suspensions and cell titrations, is prepared by adding 2.0% calf serum. substitution of the simple lactalbumin hydrolysate medium for the more complex media like Connaught No. 199",colour test... acid products of metabolism lower the pH of the medium,in_window,grok-primary,2026-07-21,high,Confirms 2% calf serum nutrient medium mid-1950s
P1-200,1961,Smith SE,A Maintenance Medium for Tissue Culture Virus Studies,Br J Exp Pathol. 1961 (PDF brjexppathol00357-0048),primary_methods,poliovirus and others on monkey kidney,primary monkey kidney and others,monkey kidney; various,lactalbumin hydrolysate medium with added serum (cells usually grown),liver digest ultrafiltrate 5-10% in Earle BSS; serum-free maintenance for polio titration up to 12 days; vaccine safety testing up to 28 days serum-free,yes,maintenance medium for virus studies after growth,keep infected cells healthy without inhibitory effect on virus; growth media not generally suitable; better than lactalbumin+serum growth medium or SM199 for maintenance; crude digest less satisfactory especially in medium with low serum content,virus titration; long maintenance,yes,unclear,special requirement for a type of medium usually referred to as maintenance medium. The liver digest is used at a 10 per cent dilution in Earle's balanced salt solution to form the basic maintenance medium. For titrations of poliovirus the cultures are kept on a serum free medium for periods of up to 12 days from infection. cells are usually grown on a lactalbumin hydrolysate medium with added serum.,maintenance for virus titration and safety testing of poliomyelitis vaccine up to 28 days,in_window,grok-primary,2026-07-20,high,User-supplied as P1-200; defines serum-free maintenance vs serum growth
P1-201,1961,Hsiung GD,Applications of Primary Cell Cultures in the Study of Animal Viruses,Yale J Biol Med. 1961;33:359-371,review,enteroviruses polio Coxsackie ECHO and others,primary kidney monolayers plaque and fluid,primate and non-primate kidney,not single recipe; review of systems,agar overlay factors: bicarbonate amino acids serum proteins lactalbumin; 2% horse serum can inhibit plaques; protein-free synthetic overlay discussed,discussed as variable,overlay vs fluid culture,serum inhibitors of plaque formation; lactalbumin can accelerate some ECHO plaques,plaques; CPE fluid culture,yes,unclear,2 percent horse serum from certain horses when added to the overlay caused inhibition of 90 percent of the plaques produced by poliovirus type 1. protein-free synthetic overlay medium. addition of lactalbumin hydrolysate in the overlay medium,certain ECHO viruses produced plaques under agar overlay but were incapable of producing cytopathic changes in parallel fluid cultures,in_window,grok-primary,2026-07-20,high,User-supplied as P1-201; serum as inhibitor supports low/no-serum logic
P1-205,1972,Schmidt NJ,Tissue Culture in the Laboratory Diagnosis of Viral Infections,Am J Clin Pathol. 1972;57:820-828 approx,review,diagnostic viruses,diagnostic TC overview,diploid MK continuous,not primary recipe source,isolation CPE; micro methods save medium,unclear,n/a,none detailed for serum percent,CPE isolation; intersecting serum pools,no,unclear,micro tests require about one-tenth of the amounts of cells and medium used for tube cultures,isolation of viruses; CPE diagnostic practice,end_marker late secondary,grok-primary,2026-07-21,medium,"Bibliography leads: Hayflick diploid, etc."
P1-206,1953,Melnick JL,Poliomyelitis Virus in Tissue Culture (dry-tube and bottle culture methods),Proc Soc Exp Biol Med. 1953;84:558-563 approx,primary_methods,poliomyelitis,monkey kidney on glass stationary tubes bottles,monkey kidney epithelial,Complete medium: 9 parts Medium 199 + 1 part bovine serum (10%); 10% serum with 199 satisfactory for outgrowth (Fig 3),Remove complete medium; wash Earle salt solution remove inhibitors in bovine serum; maintenance = 1 part 199 + 1 part Earle salt solution (serum-free),yes,after 10-14 days epithelial sheet before virus,Wash removes poliomyelitis virus inhibitory substances present in bovine serum,cytopathogenic effect,yes serum percent and fluid depth,unclear,Complete medium... 9 parts of mixture No. 199 and 1 part bovine serum. washed with Earle's salt solution (to remove poliomyelitis virus inhibitory substances present in bovine serum)... maintenance medium consisting of 1 part of No. 199 and 1 part of Earle's salt solution. concentrations of 10% when used with No. 199 were satisfactory for good outgrowth.,reaction to virus (cytopathogenic effect),in_window,grok-primary,2026-07-21,high,Key dual-medium primary: 10% growth then serum-free maintenance + inhibitor wash
