id,year,authors,title,journal_or_source,citation,short_cite,doi,pmid,pmcid,other_id,other_id_type,stable_url,id_basis,useful,reason,fulltext,lead_source,round,paper_spine,alias_of,notes
P1-011,,ATCC,Virology Culture Guide,ATCC institutional web guide,ATCC. Virology Culture Guide (institutional web publication; living document),ATCC Virology Culture Guide,,,,ATCC-Virology-Culture-Guide,institutional_guide,,Institutional product name only; living web page not frozen,Y,End-marker: lower serum viral medium; NOTE 5 decrease to 2%,Y,seed_repo_protocol,2,institutional,,Do not invent a permanent URL; capture archive date when paper is submitted.
P1-012,2007,"Suchman E, Blair C",Cytopathic effects of viruses protocols,American Society for Microbiology Protocols,"Suchman E, Blair C. Cytopathic Effects of Viruses Protocols. American Society for Microbiology",ASM Suchman & Blair CPE Protocols,,,,ASM-CPE-Protocols-Suchman-Blair,asm_protocol,,In-repo protocol PDF title/authors,Y,End-marker: maintenance medium with 2% serum,Y,seed_repo_protocol,2,institutional,,No DOI. Prefer title+authors+ASM protocols series.
P1-013,2007,"Leland DS, Ginocchio CC",Role of cell culture for virus detection in the age of technology,Clin Microbiol Rev,Clin Microbiol Rev. 2007;20(1):49-78. doi:10.1128/CMR.00002-06,Leland & Ginocchio 2007 Clin Microbiol Rev,10.1128/CMR.00002-06,,,,,https://doi.org/10.1128/CMR.00002-06,DOI and imprint printed on first page of held PDF,B,Diagnostic culture review; limited explicit serum percent,Y,pubmed_leland,10,N,,PMID not printed on PDF first page — left blank.
P1-014,2016,"Hematian A, Sadeghifard N, Mohebi R, Taherikalani M, Nasrolahi A, Amraei M, Ghafourian S",Traditional and modern cell culture in virus diagnosis,Osong Public Health Res Perspect,Osong Public Health Res Perspect (Hematian et al.; traditional and modern cell culture in virus diagnosis),Hematian et al. 2016 cell culture virus diagnosis,,,,,,,Title/authors on held PDF; volume/pages/DOI not printed on first page of held PDF — left blank,N,no_medium_info,Y,pubmed_hematian,2,N,,Same paper as P1-020. Prior DOI/PMID from web not retained unless on PDF.
P1-015,,Moffat MAJ,Some cell culture procedures in diagnostic medical virology,Diagnostic methods chapter (PDF in corpus),Moffat MAJ. Some Cell Culture Procedures in Diagnostic Medical Virology (chapter PDF in p1_history/refs),Moffat diagnostic cell culture procedures,,,,,,,Title/author from held PDF only,Y,States change to maintenance 1% serum or serum-free after about 3 days,Y,pubmed_moffat,2,N,,Prior PMC7149990 removed — not re-verified on this PDF.
P1-016,,UK Standards for Microbiology Investigations,V 39: Procedure for the care and propagation of cell cultures,UK SMI V_39,UK Standards for Microbiology Investigations. V 39 — Procedure for the care and propagation of cell cultures,UK SMI V_39,,,,V_39,uk_smi_code,,National document code V_39,Y,Growth 10% / maintenance 2% serum tables,partial,scholar_smi,2,N,,Cite code + edition date when frozen for paper.
P1-017,1961,"Subramanyam P, Divakaran S, Vinodraj P",Cultivation of vaccinia virus in sheep kidney cell cultures,Bull World Health Organ,Bull World Health Organ. 1961;25:33-40,Subramanyam et al. 1961 vaccinia sheep kidney,,,PMC2555548,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2555548/,"Imprint on PDF (Bull. Wld Hlth Org. 1961, 25, 33-40); PMCID from PMC-sourced filename",Y,Maintenance EBSS with 10% sheep serum (counterexample),Y,scholar_counter,4,N,,Counterexample high-serum maintenance.
P1-018,1964,Boyle JJ,Rift Valley Fever Virus Assay in Serum-Free Hamster Kidney Monolayers,U.S. Army Biological Laboratories Technical Manuscript 132,"Boyle JJ. Rift Valley Fever Virus Assay in Serum-Free Hamster Kidney Monolayers. Technical Manuscript 132. U.S. Army Biological Laboratories, Fort Detrick; April 1964. DTIC AD0437967",Boyle 1964 RVF TM132 AD0437967,,,,AD0437967,dtic_ad,,DTIC AD on held PDF cover (AD437967 / AD0437967 family) + TM 132 title page; filename AD0437967,Y,Serum omitted from maintenance; CPE readability,Y,scholar_counter,4,Y,,Cover also shows AD437967 (same report family). Prefer AD0437967 as in filename and common DTIC form.
P1-019,1958,"Baron S, Low RJ",New maintenance medium for cell culture,Science,Science (Baron & Low; New maintenance medium for cell culture) — same as P1-048,Baron & Low 1958 (alias of P1-048),,,,,,,Alias of P1-048,Y,duplicate lead of P1-048,Y,scholar_maint,2,N,P1-048,Do not double-cite. IDs live on P1-048.
P1-020,2016,"Hematian A, et al.",Traditional and modern cell culture in virus diagnosis,Osong Public Health Res Perspect,Same as P1-014,Hematian 2016 (alias of P1-014),,,,,,,Alias of P1-014,N,no_medium_info,Y,user_pdf,7,N,P1-014,User PDF filename alias.
P1-021,,,Unresolved screen lead: carrier cultures / maintenance medium,,,Unresolved maintenance/carrier-culture lead,,,,,,,,B,Mentions maintenance medium; limited extraction,partial,scholar_maint,3,N,,No verified bibliographic object. Left intentionally incomplete.
P1-022,,Wikipedia contributors,Eagle's minimal essential medium (encyclopedia page),Wikipedia,Wikipedia entry on Eagle's MEM (screened as non-primary; not a research source),Wikipedia Eagle MEM,,,,,,,,N,not_virus / not primary,Y,scholar_noise,2,N,,Logged for transparency only. No permanent scholarly ID.
P1-023,,,Class lead: modern serum-free Vero adaptation literature,,,Modern SFM Vero adaptation (class lead),,,,,,,,N,out_of_window,partial,pubmed_modern,2,N,,Not a single bibliographic object.
P1-024,,,Unresolved Enders-group ~1950 culture lead (possible duplicate of P1-051/P1-002),,,Unresolved Enders-group ~1950 lead,,,,,,,,B,Related Enders group; not fully extracted,partial,seed_enders,1,N,,Not resolved to a unique paper. Prefer P1-001/002/051.
P1-025,1913,"Steinhardt E, Israeli C, Lambert RA",Studies on the cultivation of the virus of vaccinia,J Infect Dis,"Steinhardt E, Israeli C, Lambert RA. Studies on the cultivation of the virus of vaccinia. J Infect Dis. 1913 (classic early claim; volume/pages not re-verified against a held PDF in this pass)",Steinhardt et al. 1913 vaccinia cultivation,,,,,,,Standard historical citation only; pages not verified on held PDF,B,Very early virus in culture; medium not extracted,partial,seed_history,2,N,,Authors+year+journal retained as classic lead; no machine ID.
P1-026,1936,"Lloyd W, Theiler M, Ricci NI",Modification of the virulence of yellow fever virus by cultivation in tissues in vitro (classic lead),,"Lloyd W, Theiler M, Ricci NI. 1936 yellow fever tissue culture (exact journal imprint not re-verified on held PDF)",Lloyd Theiler Ricci 1936 yellow fever TC,,,,,,,,B,Pre-Enders virus TC; medium not extracted,partial,seed_history,2,N,,No machine ID; imprint incomplete by design until PDF verified.
P1-027,,Fenner F et al.,Egg cultivation contrast material (not Isolation medium evolution),,,Fenner egg chapter contrast,,,,,,,,N,secondary_no_primary_methods,Y,pubmed_fenner,2,N,,Screened out.
P1-028,2006,Clinical and Laboratory Standards Institute,Viral Culture; Approved Guideline (duplicate materials of P1-010),CLSI M41-A,Duplicate of P1-010,CLSI M41 preview (alias P1-010),,,,M41-A,clsi_document_code,,Alias of P1-010,N,duplicate,partial,seed_repo,2,N,P1-010,
P1-029,,WOAH / APHIS,Isolation / cell culture chapters in animal health manuals (class),WOAH Terrestrial Manual; APHIS SAM/VIRPRO,Class of institutional manuals (see r1_isolation_standards_and_practice/refs/isolation_protocols/),WOAH APHIS manuals class,,,,,,,,B,Codify growth/maintenance; cite specific chapter in R1,partial,seed_repo,2,N,,Not one bibliographic object.
P1-030,,"Dulbecco R, Vogt M",Related plaque methods lead (prefer P1-005),,,Dulbecco related plaque lead,,,,,,,,B,Related plaque methods; not extracted,partial,seed_plaque,3,N,,Prefer P1-005.
P1-031,,,Unresolved lead: Howes growth cycle poliovirus citing Melnick media,,,Howes growth cycle (unresolved),,,,,,,,B,Secondary pointer,partial,scholar_snowball,3,N,,
P1-032,,,Unresolved lead: serum substitutes / stock viruses (~1990 class),,,Serum substitutes lead (unresolved),,,,,,,,N,out_of_window,partial,pubmed_counter,4,N,,
P1-033,,Eagle H,"Eagle essential medium papers (class, mid-1950s)",,,Eagle MEM series (class),,,,,,,,B,Cell nutrition science; not Isolation recipe primary,partial,seed_media,2,N,,Cite a specific Eagle paper only if extracted.
P1-034,1950,"Morgan JF, Morton HJ, Parker RC",Nutrition of animal cells in tissue culture. I. Initial studies on a synthetic medium,Proc Soc Exp Biol Med,Proc Soc Exp Biol Med. 1950;73(1):1-8,Morgan et al. 1950 Medium 199,,,,17557,psgbm_article_number,,PDF imprint Vol.73 Jan 1950 No.1 + article number (17557) on PDF,Y,Medium 199 synthetic medium foundation,Y,seed_enders_cite,9,N,,No DOI printed on held PDF — left blank (article number retained).
P1-035,1963,"Rosenbaum MJ, Phillips IA, Sullivan EJ, Edwards EA, Miller LF",A simplified method for virus-tissue culture procedures in microtitration plates,DTIC technical report / reprint,"Rosenbaum MJ, et al. A Simplified Method for Virus-Tissue Culture Procedures in Microtitration Plates. DTIC AD0411928",Rosenbaum microtitration AD0411928,,,,AD0411928,dtic_ad,,DTIC AD on held PDF/filename; authors/title in PDF metadata,Y,Growth vs maintenance in tube cultures,Y,scholar_maint,3,N,,Alias file P1-204.
P1-036,1969,"Lennette EH, Schmidt NJ (eds)","Diagnostic Procedures for Viral and Rickettsial Infections, 4th ed. (AJPH book notice)",Am J Public Health Nations Health (book notice),AJPH book notice of Lennette & Schmidt 4th ed. (file amjphnation00034-0156b); full methods chapter is P1-008,Lennette/Schmidt 4th ed AJPH notice,,,,amjphnation00034-0156b,source_filename_id,,Held notice PDF filename id only,B,Notice only; not full methods,Y,seed_manual_line,2,N,P1-008,Not a substitute for P1-008.
P1-037,,,Cumitech / ASM Manual of Clinical Microbiology historical editions (class),ASM Press,,Cumitech / ASM MCM class,,,,,,,,B,Edition-specific extraction incomplete,partial,seed_manual_line,2,N,,
P1-038,2004,World Health Organization,Polio Laboratory Manual,WHO,WHO. Polio Laboratory Manual (2004 edition lineage),WHO Polio Laboratory Manual 2004,,,,,,,,N,out_of_window,partial,seed_modern_manual,2,N,,Prior WHO-IVB-04.10 code removed until confirmed against a held document.
P1-039,,,Non-peer web noise lead,,,Web noise lead,,,,,,,,N,not_useful_non_peer,Y,scholar_noise,2,N,,
P1-040,,,Modern serum-free Vero trade/secondary lead,,,Modern SFM Vero lead,,,,,,,,N,out_of_window,partial,scholar_noise,4,N,,
P1-041,,,Unresolved lead: simplified maintenance medium (~1955 PSGBM-era),,,EAS simplified maintenance (unresolved),,,,,,,,B,Virus Isolation link unclear,partial,scholar_maint,2,N,,
P1-042,1953,"Li CP, Schaeffer M",A simplified method for cultivation of poliomyelitis virus in tissue culture,Science,"Science (Li CP, Schaeffer M; A simplified method for cultivation of poliomyelitis virus in tissue culture)",Li & Schaeffer 1953 Science,,,,,,,Title and authors on held PDF; volume/issue/pages not captured cleanly from scan first pages — left blank rather than guess,Y,Horse serum frequently inhibitory; Medium E,Y,round7_search,9,optional,,Prior DOI/PMID removed until volume/pages verified on PDF. Manuscript received date visible near article; full Science imprint to be filled only when confirmed.
P1-043,1956,"Melnick JL, Opton EM",Assay of poliomyelitis neutralizing antibody in disposable plastic panels,Bull World Health Organ,Bull World Health Organ. 1956;14:129-146,Melnick & Opton 1956 WHO assay panels,,,PMC2538105,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2538105/,"Imprint on PDF (Bull. Wld Hlth Org. 1956, 14, 129-146); PMCID from PMC-sourced filename",Y,Nutrient medium + 2.0% calf serum,Y,round7_search,9,N,,
P1-044,1956,Melnick JL,Tissue culture methods for cultivation of poliomyelitis and related viruses (Diagnostic Procedures 2nd ed. chapter lineage),APHA Diagnostic Procedures 2nd ed. (~1956),Melnick JL. Tissue culture methods… In: Diagnostic Procedures for Virus and Rickettsial Diseases. 2nd ed. APHA; ~1956 (PDF not obtained),Melnick Diagnostic Procedures 2nd ed chapter,,,,,,,,B,Chapter not fulltext extracted,N,round7_search,7,N,,Unavailable; no machine ID.
P1-045,1952,"Weller TH, Enders JF, Robbins FC, Stoddard MB",Studies on the cultivation of poliomyelitis viruses in tissue culture. I. …,J Immunol,Weller et al. Studies on the cultivation of poliomyelitis viruses in tissue culture. I. J Immunol. 1952;69:645-671 (PDF not obtained; pages from standard series citation used only as lead),Weller et al. 1952 J Immunol I,,,,,,,,B,Enders-group methods; PDF not obtained,N,round9_snowball,9,N,,Prior PMID removed — not verified against held PDF. Lead only.
P1-046,1954,Youngner JS,Monolayer tissue cultures. I. Preparation and standardization of suspensions of trypsin-dispersed monkey kidney cells,Proc Soc Exp Biol Med / Exp Biol Med,Exp Biol Med (Maywood). 1954;85:202-205. doi:10.3181/00379727-85-20830,Youngner 1954 monolayer trypsin MK,10.3181/00379727-85-20830,,,20830,psgbm_article_number,https://doi.org/10.3181/00379727-85-20830,DOI and 1954;85:202 printed on held PDF cover sheet,Y,Medium D 2% horse serum growth; no serum for virus assay,Y,round9_snowball,10,Y,,Paper spine. PMID not on PDF.
P1-047,1953,"Scherer WF, Syverton JT, Gey GO",Studies on the propagation in vitro of poliomyelitis viruses. IV. Viral multiplication in a stable strain of human malignant epithelial cells (strain HeLa)…,J Exp Med,J Exp Med. 1953;97:695-710,Scherer Syverton Gey 1953 HeLa,,,,,,,"PDF: title, authors, received 20 Jan 1953; pages 695+ from held full text",Y,High human serum growth; MS-100 after antibody dilution,Y,round9_snowball,10,Y,,No DOI/PMID on PDF. Do not invent.
P1-048,1958,"Baron S, Low RJ",New maintenance medium for cell culture,Science,Science. 1958;128:89-90,Baron & Low 1958 Science,,,,,,,"PDF: title, authors Baron & Low; running date line 11 July 1958 on held scan; pages from project extract of this PDF",Y,Named maintenance medium; serum inhibitors,Y,round9_snowball,10,Y,,No DOI printed on held scan. Prior invented DOI/PMID removed.
P1-049,1961,"Hayflick L, Moorhead PS",The serial cultivation of human diploid cell strains,Exp Cell Res,"Hayflick L, Moorhead PS. The serial cultivation of human diploid cell strains. Exp Cell Res. 1961 (lead; PDF not held)",Hayflick & Moorhead 1961,,,,,,,,B,Diploid strain standard lead,N,round9_snowball,9,N,,No machine ID without held PDF.
P1-050,1952,"Robbins FC, Weller TH, Enders JF",Studies on the cultivation of poliomyelitis viruses in tissue culture. II. … (roller-tube),J Immunol,Robbins et al. Studies on the cultivation of poliomyelitis viruses in tissue culture. II. J Immunol. 1952 (lead; PDF not held),Robbins et al. 1952 J Immunol II,,,,,,,,B,Enders group methods lead,N,round9_snowball,9,N,,
P1-051,1948,"Weller TH, Enders JF",Production of hemagglutinin by mumps and influenza A viruses in suspended cell tissue cultures,Proc Soc Exp Biol Med,Proc Soc Exp Biol Med. 1948;69:124-128,Weller & Enders 1948 mumps influenza HA TC,,,,16638,psgbm_article_number,,"PDF: title, authors, pages 124-128, article number 16638",Y,Pre-polio ultrafiltrate medium HS,Y,handoff_priority_A,10,optional,,No DOI printed on PDF. Article number 16638 certain.
P1-200,1961,Smith SE,A maintenance medium for tissue culture virus studies,Br J Exp Pathol,Br J Exp Pathol. 1961;42:232-235,Smith 1961 maintenance medium,,,,,,,"PDF: title, author, pages start 232; year from journal imprint in extract",Y,Defines maintenance medium for virus studies,Y,user_pdf,6,N,,Prior PMCID removed — not printed on held PDF first pages.
P1-201,1961,Hsiung GD,Applications of primary cell cultures in the study of animal viruses,Yale J Biol Med,Yale J Biol Med (Hsiung GD; Applications of primary cell cultures in the study of animal viruses),Hsiung 1961 primary cell cultures,,,,,,,"PDF: title, author, Yale Journal of Biology and Medicine running head",Y,Primary cell culture virus methods review; serum overlay factors,Y,user_pdf,6,N,,Volume/pages not asserted without clear PDF imprint capture.
P1-203,1964,Boyle JJ,Rift Valley Fever Virus Assay in Serum-Free Hamster Kidney Monolayers,U.S. Army Biological Laboratories Technical Manuscript 132,Same as P1-018; DTIC AD0437967,Boyle 1964 (alias P1-018),,,,AD0437967,dtic_ad,,Alias of P1-018,Y,duplicate_alias_of_P1-018,Y,user_pdf,7,N,P1-018,
P1-204,1963,"Rosenbaum MJ, et al.",A simplified method for virus-tissue culture procedures in microtitration plates,DTIC,Same as P1-035; DTIC AD0411928,Rosenbaum (alias P1-035),,,,AD0411928,dtic_ad,,Alias of P1-035,Y,duplicate_alias_of_P1-035,Y,user_pdf,7,N,P1-035,
P1-205,1972,Schmidt NJ,Tissue culture in the laboratory diagnosis of viral infections,Am J Clin Pathol,Am J Clin Pathol. 1972;57:820-828,Schmidt 1972 AJCP,,,,,,,"PDF abstract line: Am. J. Clin. Pathol. 57: 820-828, 1972",Y,Diagnostic TC review,Y,user_pdf,9,N,,No DOI on PDF.
P1-206,1953,Melnick JL,Poliomyelitis virus in tissue culture (dry-tube / bottle culture methods),Proc Soc Exp Biol Med,Proc Soc Exp Biol Med. 1953;84:558-563,Melnick 1953 dry-tube bottle,,,,,,,PDF pages 558+ title running head; year/volume from project extract of held PDF,Y,10% bovine+199 growth; wash; no-serum maintenance,Y,user_pdf,9,Y,,Paper spine. No DOI printed on held PDF — left blank.
