id,year,authors,title,citation,document_type,virus_or_system,metrics_coded,states_incomplete_physical_separation,claims_successful_separation,separation_methods_discussed,historical_claim,quotes_key,supports_dilemma,counterexample_value,fulltext,extractor,extract_date,confidence,notes
P2-017,2013,"Ramakrishnaiah V et al.",Exosome-mediated transmission of hepatitis C virus between human hepatoma Huh7.5 cells,PNAS 2013,primary_experimental,HCV,"M-CONT;M-RNA;M-INF;M-UC",partial,no,exosome isolation used as infectious unit source,infectious agent in EV fraction,Exosome-mediated HCV transmission (title),Y,N,abstract_only,grok-primary,2026-07-22,medium,Confirm pages
P2-018,2014,"Bukong TN et al.",Exosomes from hepatitis C infected patients transmit HCV infection...,PLoS Pathog 2014,primary_experimental,HCV patients + culture,"M-RNA;M-INF;M-CONT;M-UC",partial,partial,ExoQuick/UC + CD63 immuno-selection; infectious EV fractions,patient EV carry replication-competent viral RNA,Exosomes transmit HCV and contain replication-competent viral RNA complexes,Y,partial,abstract_only,grok-primary,2026-07-22,medium,claims_successful_separation partial (CD63 enrichment); Agent A
P2-019,2018,"Théry C et al.",MISEV2018,J Extracell Vesicles 2018,standard,EV field general,"M-MARK;M-UC;M-HIST",partial,partial,best-practice multi-method characterization; notes contaminants,institutionalizes purity concerns,Minimal information standards for EV studies including purity considerations,Y,partial,abstract_only,grok-primary,2026-07-22,medium,Need PDF for virus-specific wording
P2-020,2010,"Pegtel DM et al.",Functional delivery of viral miRNAs via exosomes,PNAS 2010,primary_experimental,EBV,"M-RNA;M-CONT",partial,no,exosome isolation for viral miRNA delivery,viral genetic material in non-virion vesicles,Functional delivery of viral miRNAs via exosomes,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-021,2006,"Booth AM et al.",Exosomes and HIV Gag bud from endosome-like domains of the T cell plasma membrane,J Cell Biol 2006,primary_experimental,HIV Gag,"M-CONT;M-PROT;M-EM",yes,no,shared budding domains,supports Trojan-related shared biogenesis,Exosomes and HIV Gag bud from endosome-like domains,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-023,2023,"Martin C, Ligat G, Malnou CE",The Yin and the Yang of Extracellular Vesicles During Viral Infections,Biomedicines 2023,review,general viral infections,"M-CONT;M-SIZE",partial,unclear,review of dual roles,2023 persistence of EV-virus research problem,Recent review of EV-virus interactions (confirm DOI),Y,N,abstract_only,grok-primary,2026-07-22,low,Imprint needs PDF confirmation
P2-024,2018,"Dias MVS et al.",The ambiguous roles of extracellular vesicles in HIV replication,Front Microbiol 2018;9:2411,review,HIV,"M-CONT;M-SIZE",yes,unclear,shared features EV and HIV-1,ambiguous roles framing,EVs especially exosomes and HIV-1 particles share some important features,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-027,2009,"Izquierdo-Useros N et al.",Capture and transfer of HIV-1 particles by mature dendritic cells converges with the exosome-dissemination pathway,Blood 2009,primary_experimental,HIV-1 DC,"M-CONT;M-INF",partial,no,pathway convergence not purification,functional exploitation of EV pathway,HIV-1 exploits exosome antigen-dissemination pathway,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-028,2006,"Wiley RD, Gummuluru S",Immature dendritic cell-derived exosomes can mediate HIV-1 trans-infection,PNAS 2006,primary_experimental,HIV-1,"M-CONT;M-INF;M-UC",partial,no,exosome-mediated trans-infection,infectious activity associated with EV fraction,DC exosomes mediate HIV-1 trans-infection,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-031,2003,"Nguyen DG et al.",Evidence that HIV budding in primary macrophages occurs through the exosome release pathway,J Biol Chem 2003,primary_experimental,HIV macrophages,"M-CONT;M-PROT",yes,no,shared release pathway,Trojan-adjacent experimental,HIV budding through exosome release pathway,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-041,2015,"Chahar HS, Bao X, Casola A",Exosomes and their role in the life cycle and pathogenesis of RNA viruses,Viruses 2015,review,RNA viruses,"M-CONT;M-RNA",partial,unclear,lifecycle roles,field review mid-2010s,Exosomes in RNA virus life cycle and pathogenesis,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-043,2016,"Altan-Bonnet N et al.",Nonenveloped viruses in extracellular vesicles (Trojan horses),Curr Opin Microbiol / related 2016,review,enteroviruses HAV-like,"M-CONT;M-EM;M-INF",yes,no,vesicle cloaking of non-enveloped viruses,blurs classical envelope taxonomy,Non-enveloped viruses packaged in host vesicles,Y,N,abstract_only,grok-primary,2026-07-22,medium,Confirm exact cite
P2-044,2015,"Chen YH et al.",Phosphatidylserine vesicles enable efficient en bloc transmission of enteroviruses,Cell 2015,primary_experimental,enteroviruses,"M-CONT;M-EM;M-INF;M-LIPID",yes,no,PS vesicles contain multiple virions,membrane packages as transmission unit,PS vesicles enable en bloc enterovirus transmission,Y,N,abstract_only,grok-primary,2026-07-22,high,
P2-051,2010,"Lenassi M et al.",HIV Nef is secreted in exosomes and induces apoptosis in bystander CD4 T cells,Traffic 2010,primary_experimental,HIV Nef,"M-CONT;M-PROT",partial,no,exosomal Nef,viral protein without full virion,Nef secreted in exosomes,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-052,2013,"Narayanan A et al.",Exosomes derived from HIV-1-infected cells contain trans-activation response element RNA,J Biol Chem 2013,primary_experimental,HIV TAR RNA,"M-RNA;M-CONT",partial,no,EV carry viral RNA element,RNA in non-virion particles,HIV-1-infected cell exosomes contain TAR RNA,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-056,2010,"Meckes DG et al.",Human tumor virus utilizes exosomes for intercellular communication,PNAS 2010/11,primary_experimental,EBV,"M-RNA;M-PROT;M-CONT",partial,no,exosome transfer of viral components,EBV LMP1/miRNA communication,Tumor virus utilizes exosomes for intercellular communication,Y,N,abstract_only,grok-primary,2026-07-22,medium,
P2-062,2018,"McNamara RP et al.",Nef secretion into extracellular vesicles / mBio line,mBio 2018;9:e02344-17,primary_experimental,HIV Nef,"M-PROT;M-CONT",partial,no,EV export of Nef without viral genetic material,uncouples viral protein export from classic virion,HIV exports Nef in cellular packages (exosomes),Y,N,abstract_only,grok-primary,2026-07-22,medium,
