id,year,authors,title,journal_or_source,citation,doi,pmid,useful,reason,fulltext,lead_source,round,metrics_hint,notes
P2-011,1997,"Gluschankof P, Mondor I, Gelderblom HR, Sattentau QJ",Cell membrane vesicles are a major contaminant of gradient-enriched human immunodeficiency virus type-1 preparations,Virology,Virology. 1997;230(1):125-133,10.1006/viro.1997.8454,9126268,Y,Parallel 1997 primary: membrane vesicles major contaminant of gradient-enriched HIV,abstract_only,web_hist_E,2,"M-DENS;M-UC;M-EM;M-PROT;M-HIST",Critical historical primary; PDF request
P2-012,2008,"Cantin R et al.",(superseded lead — see P2-013),,,,,N,duplicate_of_P2-013,abstract_only,web_B,2,,Merged into P2-013 after Agent B imprint correction
P2-013,2008,"Cantin R, Diou J, Bélanger D, Tremblay AM, Gilbert C",Discrimination between exosomes and HIV-1-infected cells: methods and applications,J Immunol Methods,J Immunol Methods. 2008;338:21-30,,18675270,Y,Velocity gradients + AChE immunodepletion separate HIV from exosomes; sucrose inefficient,abstract_only,web_D_counter,2,"M-MARK;M-DENS;M-UC",CORRECTED after Agent B: not J Virol CD45 paper
P2-014,2008,"Coren LV, Shatzer T, Ott DE",CD45 immunoaffinity depletion of vesicles from Jurkat T cells demonstrates that exosomes contain CD45: no evidence for a distinct exosome/HIV-1 budding pathway,Retrovirology,Retrovirology. 2008;5:64,10.1186/1742-4690-5-64,,Y,CD45 immunoaffinity depletion of contaminating vesicles from virus preps,abstract_only,web_D_counter,2,"M-MARK;M-UC;M-PROT",Counterexample method; problem acknowledged
P2-015,2009,"Ott DE",Purification of HIV-1 virions by subtilisin digestion or CD45 immunoaffinity depletion for biochemical studies,Methods Mol Biol,Methods Mol Biol. 2009;485:15-25,10.1007/978-1-59745-170-3_2,,Y,Protocol to remove microvesicle contaminants from HIV preps,abstract_only,snowball_from_P2-010,2,"M-MARK;M-PROT;M-UC",Counterexample / remediation protocol
P2-016,2013,"Feng Z, Hensley L, McKnight KL, Hu F, Madden V, Ping L, et al.",A pathogenic picornavirus acquires an envelope by hijacking cellular membranes,Nature,Nature. 2013;496:367-371,10.1038/nature12029,,Y,eHAV cloaked in host membranes; resembles exosomes; majority of released HAV enveloped,abstract_only,web_A,2,"M-CONT;M-DENS;M-EM;M-INF;M-LIPID",Primary experimental; non-enveloped virus paradox
P2-017,2013,"Ramakrishnaiah V, Thumann C, Fofana I, et al.",Exosome-mediated transmission of hepatitis C virus between human hepatoma Huh7.5 cells,Proc Natl Acad Sci USA,PNAS. 2013 (approx),,,Y,HCV transmission via exosome-like vesicles — identity of infectious particle,abstract_only,snowball_from_seeds,2,"M-CONT;M-RNA;M-INF",Confirm full cite on PDF
P2-018,2014,"Bukong TN, Momen-Heravi F, Kodys K, Bala S, Szabo G",Exosomes from hepatitis C infected patients transmit HCV infection and contain replication competent viral RNA in complex with Ago2-miR122-HSP90,PLoS Pathog,PLoS Pathog. 2014,10.1371/journal.ppat.1004424,,Y,Infectious HCV RNA in patient/culture exosome fractions,abstract_only,web_C,2,"M-RNA;M-INF;M-CONT;M-UC",Primary experimental
P2-019,2018,"Théry C, Witwer KW, Aikawa E, et al.",Minimal information for studies of extracellular vesicles 2018 (MISEV2018),J Extracell Vesicles,J Extracell Vesicles. 2018;7(1):1535750,10.1080/20013078.2018.1535750,,Y,Field standard; purity contaminants including viruses; best practices,abstract_only,web_F,2,"M-MARK;M-UC;M-HIST",Standards document
P2-020,2010,"Pegtel DM, Cosmopoulos K, Thorley-Lawson DA, et al.",Functional delivery of viral miRNAs via exosomes,Proc Natl Acad Sci USA,PNAS. 2010,10.1073/pnas.0914843107,,Y,Viral miRNA in EVs functional transfer; particle-type identity of carriers,abstract_only,snowball_from_seeds,2,"M-RNA;M-CONT",Viral cargo without requiring classic virion framing
P2-021,2006,"Booth AM, Fang Y, Fallon JK, et al.",Exosomes and HIV Gag bud from endosome-like domains of the T cell plasma membrane,J Cell Biol,J Cell Biol. 2006;172(6):923-935,10.1083/jcb.200508014,,Y,Shared budding domains for HIV Gag and exosomes; supports continuum/Trojan framing,abstract_only,snowball_from_P2-009,2,"M-CONT;M-PROT;M-EM",Primary cell-biology
P2-022,2023,"Martin C, Ligat G, Malnou CE",The Yin and the Yang of extracellular vesicles during viral infections,Biomedicines / Viruses cluster 2023,,,,B,Recent review framing EV-virus duality; confirm exact venue imprint,abstract_only,web_F_recent,2,"M-CONT",May be Martin et al. Biomedicines 2023 — verify
P2-023,2023,"Martin C, Ligat G, Malnou CE",The Yin and the Yang of Extracellular Vesicles During Viral Infections,Biomedicines,Biomedicines. 2023;11(6):1635?,,,,Y,2023 review: EV-virus interactions still active research problem,abstract_only,web_F_recent,2,"M-CONT;M-SIZE",Confirm DOI/pages; shows dilemma continues
P2-024,2018,"Dias MVS, Costa CS, da Silva LLP",The ambiguous roles of extracellular vesicles in HIV replication,Front Microbiol,Front Microbiol. 2018;9:2411,10.3389/fmicb.2018.02411,,Y,States EVs and HIV share important features; purification challenges implied,abstract_only,web_F,2,"M-CONT;M-SIZE",Independent group
P2-025,2017,"Arakelyan A, Fitzgerald W, Zicari S, Vanpouille C, Margolis L",Extracellular vesicles carry HIV Env and facilitate HIV infection of human lymphoid tissue,Sci Rep / related,,,,B,Arakelyan/Margolis line on EV vs HIV particle analysis; verify exact title for flow cytometry discrimination paper,abstract_only,web_D,2,"M-MARK;M-SIZE;M-INF",Need correct Arakelyan cite for single-particle discrimination
P2-026,2013,"Arakelyan A, Fitzgerald W, Margolis L, et al.",Nanoparticle-based flow virometry for the analysis of individual virions,J Clin Invest / J Virol methods cluster,,,,B,Single-particle approaches claimed to help resolve continuum; exact imprint TBD,abstract_only,web_D,2,"M-MARK;M-SIZE",Queue full-text identity check
P2-027,2009,"Izquierdo-Useros N, Naranjo-Gómez M, Archer J, et al.",Capture and transfer of HIV-1 particles by mature dendritic cells converges with the exosome-dissemination pathway,Blood,Blood. 2009;113(12):2732-2741,,,,Y,HIV exploits exosome antigen-dissemination pathway in mDCs — functional overlap,abstract_only,web_A,2,"M-CONT;M-INF",Not primarily a purification paper but continuum
P2-028,2006,"Wiley RD, Gummuluru S",Immature dendritic cell-derived exosomes can mediate HIV-1 trans-infection,Proc Natl Acad Sci USA,PNAS. 2006,,,Y,Exosome-mediated HIV trans-infection claims,abstract_only,web_A,2,"M-CONT;M-INF;M-UC",Primary experimental
P2-029,2024,"Chen J, et al. (class)",Recent EV-virus reviews 2023-2025 (class lead),various journals,Class of recent reviews still discussing co-isolation,,,,B,Persistence signal only; expand to named papers Round 3,abstract_only,web_F_recent,2,"M-CONT",Do not cite class as single paper
P2-030,2018,"Witwer KW, Théry C",Extracellular vesicles or exosomes? On primacy nomenclature and quality control,J Extracell Vesicles,J Extracell Vesicles commentary cluster,,,,B,Nomenclature/QC; virus contamination sometimes noted,abstract_only,web_F,2,"M-MARK",Thin for P2 unless virus section strong
P2-031,2003,"Nguyen DG, Booth A, Gould SJ, Hildreth JEK",Evidence that HIV budding in primary macrophages occurs through the exosome release pathway,J Biol Chem,J Biol Chem. 2003,,,Y,HIV budding via exosome release pathway in macrophages,abstract_only,snowball_from_P2-009,2,"M-CONT;M-PROT",Primary supporting Trojan-related claims
P2-032,2019,"McNamara RP, et al.",Nef secretion in exosomes (mBio line),mBio,mBio ~2018-2019 Nef exosomes,,,,B,Viral protein in EVs without full genome; identity of carrier,abstract_only,web_noise,2,"M-RNA;M-CONT",Confirm exact McNamara mBio Nef paper imprint
P2-033,2014,"Chevillet JR, et al.",Quantitative and stoichiometric analysis of the microRNA content of exosomes,Proc Natl Acad Sci USA,PNAS. 2014,,,B,miRNA copy number in EV often <<1 — cargo significance debate; virus angle secondary,abstract_only,web_C,2,"M-RNA",Useful for RNA-attribution caution
P2-034,2015,"Lotvall J, et al.",Minimal experimental requirements for definition of extracellular vesicles (MISEV2014),J Extracell Vesicles,J Extracell Vesicles. 2014,,,B,Earlier standard; virus less central than MISEV2018,abstract_only,web_F,2,"M-MARK",
P2-035,2002,"Thery C, Zitvogel L, Amigorena S",Exosomes: composition biogenesis and function,Nat Rev Immunol,Nat Rev Immunol. 2002,,,N,Classic EV review; no virus-particle dilemma focus,abstract_only,web_bg,2,,Background EV only
P2-036,2013,"Raposo G, Stoorvogel W",Extracellular vesicles: exosomes microvesicles and friends,J Cell Biol,J Cell Biol. 2013,,,N,General EV; virus separation not primary,abstract_only,web_bg,2,,
P2-037,2020,"Ipinmoroti AO, Matthews QL",Extracellular vesicles: roles in human viral infections viral disease pathology and control,Pathogens,Pathogens. 2020,,,B,Broad viral EV roles review; may restate co-isolation,abstract_only,web_A,2,"M-CONT",Screen full text later
P2-038,2016,"Anderson MR, Kashanchi F, Jacobson S",Exosomes in viral disease,Neurotherapeutics,Neurotherapeutics. 2016,,,B,Viral disease EV review,abstract_only,web_A,2,"M-CONT",
P2-039,2011,"Meckes DG Jr, et al.",Human tumor virus utilizes exosomes for intercellular communication (EBV LMP1 line),Proc Natl Acad Sci USA / J Virol cluster,,,,B,EBV LMP1 in exosomes; particle identity secondary,abstract_only,snowball_from_P2-005,2,"M-RNA;M-PROT",
P2-040,2021,"Martins ST, Alves D",Viruses and extracellular vesicles: partners in infection and pathogenesis,Pathogens,Pathogens / similar 2021,,,,B,Recent partners-in-infection framing; verify imprint,abstract_only,web_F_recent,2,"M-CONT",
P2-041,2014,"Chahar HS, Bao X, Casola A",Exosomes and their role in the life cycle and pathogenesis of RNA viruses,Viruses,Viruses. 2015;7:3204-3225,,,,Y,RNA viruses and exosomes; biogenesis and transmission,abstract_only,web_A,2,"M-CONT;M-RNA",
P2-042,2019,"Altan-Bonnet N",Extracellular vesicles are the Trojan horses of viral infection,Curr Opin Microbiol,Curr Opin Microbiol. 2016/related,,,,B,Trojan horse framing for non-enveloped viruses in vesicles,abstract_only,web_A,2,"M-CONT",Confirm year/title
P2-043,2016,"Altan-Bonnet N, et al.",Extracellular vesicles and viruses — nonenveloped virus packaging,Curr Opin Virol / Microbiol cluster,,,,Y,Non-enveloped viruses packaged in host vesicles; blurs envelope definition,abstract_only,web_A,2,"M-CONT;M-EM;M-INF",Link to Feng HAV/poliovirus vesicle papers
P2-044,2015,"Chen YH, Du W, Hagemeijer MC, et al.",Phosphatidylserine vesicles enable efficient en bloc transmission of enteroviruses,Cell,Cell. 2015,,,Y,Enteroviruses in PS vesicles; multi-virion membrane packages,abstract_only,web_A,2,"M-CONT;M-EM;M-INF;M-LIPID",Primary experimental
P2-045,2019,"Reyes-Ruiz JM, et al.",Multiple particle types in flavivirus preparations (class),various,,,,B,Flavivirus density heterogeneity / empty particles — related purity problem,abstract_only,web_B,2,"M-DENS;M-INF",Expand named papers later
P2-046,1981,"Huang AS, Baltimore D",Defective interfering animal viruses (classic DI particle literature),class lead / Comp Virol,,,,B,Historical continuum of noninfectious particles co-produced with virus; pre-EV vocabulary,abstract_only,web_hist_E,2,"M-HIST;M-INF;M-CONT",Need specific DI monographs for quotes
P2-047,1970,"Huang AS",Defective interfering viruses,Annu Rev Microbiol,Annu Rev Microbiol. 1973/related,,,,B,Classic DI review — historical intermediate particles,abstract_only,web_hist_E,2,"M-HIST;M-INF",Verify year
P2-048,1960s-80s,various,Virus purification monographs noting cellular debris / membrane contamination,class,,,,B,Pre-EV language for co-purifying membranes; archive search Round 3,not_found,web_hist_E,2,"M-HIST;M-UC;M-EM",Critical for deeper history
P2-049,2017,"van Dongen HM, et al.",Extracellular vesicles exploit viral entry routes for cargo delivery,Microbiol Mol Biol Rev,,,,B,Entry route overlap EV vs virus,abstract_only,web_A,2,"M-CONT",
P2-050,2022,"Kutchy NA, et al.",Extracellular vesicles in viral infections of the nervous system (class),,,,,N,Neuro focus; weak separation methods,abstract_only,web_noise,2,,
P2-051,2008,"Lenassi M, et al.",HIV Nef is secreted in exosomes and induces apoptosis in bystander CD4 T cells,Traffic,Traffic. 2010,,,Y,Nef in exosomes; EV as viral-component carriers,abstract_only,web_C,2,"M-CONT;M-PROT",
P2-052,2013,"Narayanan A, et al.",Exosomes derived from HIV-1-infected cells contain trans-activation response element RNA,J Biol Chem,J Biol Chem. 2013,,,Y,TAR RNA in EV from HIV-infected cells,abstract_only,web_C,2,"M-RNA;M-CONT",
P2-053,2019,"Perez-Zsolt D, et al.",Dendritic cells from cervical mucosa capture and transfer HIV-1,Nat Commun / related,,,,N,Transmission biology; weak purification dilemma,abstract_only,web_noise,2,,
P2-054,2020,"Kalamvoki M, Deschamps T",Extracellular vesicles during Herpes Simplex Virus type 1 infection: an inquire,Virol J / related,,,,B,HSV EV; L-particles historical link?,abstract_only,web_A,2,"M-CONT;M-HIST",
P2-055,1990s,"Szilágyi JF, Cunningham C",HSV L-particles (light particles) lack DNA but share tegument/envelope,J Gen Virol classic,,,,B,Herpes light particles — noninfectious co-produced particles historically,abstract_only,web_hist_E,2,"M-HIST;M-INF;M-EM;M-DENS",High value historical analog; PDF request when imprint fixed
P2-056,2011,"Meckes DG, Shair KH, Marquitz AR, Kung CP, Edwards RH, Raab-Traub N",Human tumor virus utilizes exosomes for intercellular communication,Proc Natl Acad Sci USA,PNAS. 2010/2011,,,,Y,EBV uses exosomes for signaling protein/miRNA transfer,abstract_only,snowball_from_P2-005,2,"M-RNA;M-PROT;M-CONT",
P2-057,2024,various,ISEV annual meeting abstracts EV-virus isolation (class),,,,,N,Not citable primary without paper,not_found,web_noise,2,,
P2-058,2015,"Nolte-'t Hoen E, et al.",Extracellular vesicles and viruses (pre-2016 shorter pieces),class,,,,N,Superseded by P2-001,abstract_only,duplicate_cluster,2,,duplicate risk
P2-059,2021,"Reyes-Ruiz JM, Osuna-Ramos JF, De Jesús-González LA, et al.",Isolation and characterization of exosomes released from mosquito cells infected with dengue virus,Virus Res / related,,,,B,Arbovirus-EV co-release; density methods,abstract_only,web_B,2,"M-DENS;M-UC",
P2-060,2018,"Martins S, et al.",Zika and EVs (class),,,,,B,Recent arbovirus EV papers; expand,abstract_only,web_F_recent,2,"M-CONT",
P2-061,2001,"Trubey CM, et al.",Quantitation of HLA class II protein incorporated into HIV-1,J Virol,J Virol. 2003,,,B,Host protein incorporation vs microvesicle contamination distinction,abstract_only,snowball_from_P2-010,2,"M-PROT;M-MARK",
P2-062,2017,"McNamara RP, Costantini LM, Myers TA, et al.",Nef secretion into extracellular vesicles (confirm mBio),mBio,mBio. 2018;9(1):e02344-17,,,,Y,HIV Nef exported in EVs without viral genome package framing,abstract_only,web_C,2,"M-PROT;M-CONT",
P2-063,2025,"Lu P, et al.",Exosomes at the crossroads of HIV-1 pathogenesis (2025 review),Frontiers/related 2025,,,,B,Shows literature still active 2025; thin until full text,abstract_only,web_F_recent,2,"M-CONT",Persistence to present
P2-064,2014,"Hurwitz SN, et al.",CD63 regulates EBV LMP1 exosomal packaging,J Virol,,,,B,Marker/cargo specificity; separation secondary,abstract_only,seed_network,2,"M-MARK;M-PROT",
P2-065,2003,"Gould lab comment / critique of Trojan hypothesis",Counter-literature to Trojan exosome hypothesis,various 2003-2010,,,,B,Adversarial: not all accept Trojan framing; log for balance,abstract_only,web_D_adv,2,"M-CONT",Need named critique papers (e.g. Pelchen-Matthews or others)
P2-066,2004,"Pelchen-Matthews A, Kramer B, Marsh M",Infectious HIV-1 assembles in late endosomes in primary macrophages,J Cell Biol,J Cell Biol. 2003/2004,,,,B,HIV assembly compartment debate related to EV pathway,abstract_only,web_D_adv,2,"M-CONT",
P2-067,2018,"Théry MISEV contributors subset",Virus as contaminant of EV preps (subsection leads),JEV 2018,,,,N,Covered under P2-019,abstract_only,duplicate,2,,
P2-068,2020,"Barclay RA, et al.",Exosomes from uninfected cells activate HIV transcription,Sci Rep,,,,N,Functional EV-HIV; not purification dilemma,abstract_only,web_noise,2,,
P2-069,2012,"Wurdinger T, et al.",Extracellular vesicles and viruses — early 2010s review class,class,,,,B,Pre-Nolte review class; expand if unique claims,abstract_only,web_A,2,"M-CONT",
P2-070,1998,"Esser MT, et al.",Differential incorporation of CD45 into HIV vs microvesicles (related),J Virol era,,,,B,Marker exclusion claims underpin later CD45 methods,abstract_only,snowball_from_P2-010,2,"M-MARK",
